Scenario,PatientsPerInterval,EndBuffer,AppointmentInterval,AVGTreatedPatientsCount,AverageWaitingTime,Doctor1Utilization,Doctor2Utilization,Doctor3Utilization,Doctor4Utilization,LowerCI,UpperCI
1,4,0,30,57.77,32.3715562090506,120.761111111111,119.688888888889,120.476388888889,118.725,30.7530981491952,33.9900142689061
1,5,0,30,70.315,76.5663842317479,146.958333333333,146.6,146.594444444444,145.973611111111,74.4193480893663,78.7134203741295
1,6,0,30,82.9,122.324367486216,172.994444444444,172.791666666667,173.011111111111,172.355555555555,120.2166012819,124.432133690532
2,3,0,30,51.71,15.1718393429197,108.3875,108.430555555556,107.386111111111,106.259722222222,14.103513653664,16.2401650321755
1,3,0,32,43.62,4.83132183476144,91.9180555555556,91.4694444444445,91.2680555555556,90.4152777777778,4.26865015193984,5.39399351758305
1,4,0,32,55.38,23.2207002287728,115.952777777778,115.709722222222,115.273611111111,114.025,21.8108264940734,24.6305739634723
1,5,0,32,67.035,62.4820161058754,139.966666666667,140.429166666667,139.316666666667,138.451388888889,60.7620261527021,64.2020060590488
1,6,0,32,79.075,106.86613279484,165.376388888889,165.076388888889,165.0125,164.308333333333,104.864500973853,108.867764615828
2,3,0,32,49.585,11.4375724086037,104.098611111111,104.218055555556,103.679166666667,103.152777777778,10.5189667553453,12.3561780618622
1,3,0,34,41.015,3.22647084998099,84.9736111111112,86.0180555555556,85.4291666666667,83.9208333333333,2.82138766326226,3.63155403669972
1,4,0,34,52.165,18.2525878333982,109.575,109.515277777778,108.75,108.126388888889,16.9598757591197,19.5452999076766
1,5,0,34,63.19,52.9306137645672,132.831944444445,132.559722222222,132.3625,131.8,51.0096279604943,54.8515995686401
1,6,0,34,73.965,90.5004196853126,153.902777777778,153.969444444444,153.466666666667,153.666666666667,88.6234135880385,92.3774257825866
2,3,0,34,46.905,7.73255751005305,98.0736111111111,98.3041666666666,96.925,97.1055555555555,7.10703651384388,8.35807850626222
1,3,0,36,39.23,2.38804894049196,81.7319444444445,82.1402777777778,81.8277777777778,80.8791666666667,2.19217410215536,2.58392377882856
1,4,0,36,50.03,13.1843346210647,104.465277777778,105.180555555556,104.980555555556,104.204166666667,12.0766868067882,14.2919824353412
1,5,0,36,60.415,42.1366613349108,126.356944444444,125.598611111111,125.602777777778,125.284722222222,40.4451613851882,43.8281612846335
1,6,0,36,70.94,79.9227234161208,148.111111111111,148.608333333333,148.072222222222,147.156944444444,78.0096062916533,81.8358405405883
2,3,0,36,45.015,6.16430954817286,94.9222222222223,94.6972222222222,94.1833333333334,93.7499999999999,5.59788392949134,6.73073516685438
1,3,0,38,38.035,2.19940086442718,79.7472222222222,79.5777777777778,79.3069444444444,79.3111111111111,1.99591904655344,2.40288268230092
1,4,0,38,48.145,9.91056454412015,101.180555555556,101.006944444445,100.744444444444,100.25,9.20835005659685,10.6127790316434
1,5,0,38,57.91,32.5348087460029,121.101388888889,120.308333333333,120.515277777778,119.675,30.9110044187258,34.1586130732801
1,6,0,38,68.145,69.279181759684,142.368055555556,142.541666666667,142.318055555556,141.926388888889,67.2936154610113,71.2647480583567
2,3,0,38,42.935,4.54389385652162,89.3013888888889,89.9902777777777,89.7041666666666,88.8875,4.13569893420586,4.95208877883739
1,3,0,40,36.445,1.86287459353675,75.7277777777778,76.2138888888889,76.2888888888889,75.0125,1.66338336969578,2.06236581737771
1,4,0,40,45.78,7.24080618739066,95.8111111111112,95.4902777777778,95.2277777777778,95.4333333333334,6.59984555636934,7.88176681841198
1,5,0,40,55.355,26.072744251491,115.568055555556,115.986111111111,115.384722222222,114.598611111111,24.6036948670153,27.5417936359666
1,6,0,40,64.74,57.3946063277807,134.976388888889,135.080555555556,134.379166666667,134.245833333333,55.6140268821132,59.1751857734482
2,3,0,40,41.4,3.91284812843621,86.7513888888889,86.1583333333333,86.5111111111111,85.5125,3.55528742087138,4.27040883600105
1,3,15,24,52.65,21.7016941038065,110.720833333333,110.602777777778,109.520833333333,106.580555555555,20.1953495952208,23.2080386123922
1,4,15,24,67.735,73.2077562582743,141.983333333333,142.166666666667,141.463888888889,140.054166666667,71.2076456956148,75.2078668209337
1,5,15,24,82.55,126.046030161674,171.665277777778,171.780555555556,171.797222222222,171.161111111111,123.998512466444,128.093547856903
1,6,15,24,97.405,182.142383303164,203.305555555556,203.025,202.766666666667,202.634722222222,179.949970254574,184.334796351753
